,financial_impact,expected_cost,actual_cost,impact_pct,severity_score,day_of_month,days_to_month_end,deployment_event,month_end_window_3d
financial_impact,1.0,0.5157334753593763,0.9450669391561948,0.7949748669945765,0.7212498628718184,0.1726309060580848,-0.16048580303805093,-0.026314729559417896,0.0692651280247213
expected_cost,0.5157334753593763,1.0,0.7674541039253662,0.029127008381341052,0.04170405869020309,0.06185390677710313,-0.05444173026316084,0.010974956893203784,0.12554639943615167
actual_cost,0.9450669391561948,0.7674541039253662,1.0,0.6059912271486346,0.5556214731666401,0.15277863682079093,-0.1408624970402129,-0.015503974746979135,0.09973089890858562
impact_pct,0.7949748669945765,0.029127008381341052,0.6059912271486346,1.0,0.9027584144841041,0.07428422560874948,-0.06171841706857903,0.045468397459998464,-0.030020955678018605
severity_score,0.7212498628718184,0.04170405869020309,0.5556214731666401,0.9027584144841041,1.0,0.055265485708179345,-0.048811042705391855,0.02920892735283242,0.005853962212222213
day_of_month,0.1726309060580848,0.06185390677710313,0.15277863682079093,0.07428422560874948,0.055265485708179345,1.0,-0.9937061581858035,-0.057151547760002,0.5828328760592083
days_to_month_end,-0.16048580303805093,-0.05444173026316084,-0.1408624970402129,-0.06171841706857903,-0.048811042705391855,-0.9937061581858035,1.0,0.06326859448996904,-0.5785661758751137
deployment_event,-0.026314729559417896,0.010974956893203784,-0.015503974746979135,0.045468397459998464,0.02920892735283242,-0.057151547760002,0.06326859448996904,1.0,-0.16397745074672032
month_end_window_3d,0.0692651280247213,0.12554639943615167,0.09973089890858562,-0.030020955678018605,0.005853962212222213,0.5828328760592083,-0.5785661758751137,-0.16397745074672032,1.0
